Date	weight
19/03/2016	90
20/03/2016	91,6
21/03/2016	90,8
22/03/2016	91
23/03/2016	90,8
31/03/2016	91,8
01/04/2016	91
02/04/2016	92
03/04/2016	90,4
04/04/2016	89,6
05/04/2016	89,8
07/08/2016	89
08/04/2016	90,4
09/04/2016	90,2
10/04/2016	91,4
11/04/2016	90,4
12/04/2016	89,6
13/04/2016	89
14/04/2016	90
15/04/2016	89,6
20/04/2016	91
21/04/2016	89,6
22/04/2016	89,8
23/04/2016	90,8
24/04/2016	90,4
25/04/2016	90,4
26/04/2016	90,2
27/04/2016	88,6
28/04/2016	88,8
29/04/2016	89,4
03/05/2016	89,6
04/05/2016	90,2
05/05/2016	89
06/05/2016	89,2
07/05/2016	88,4
08/05/2016	90
09/05/2016	89,4
17/05/2016	89,4
18/05/2016	89,2
19/05/2016	89,6
20/05/2016	89,2
21/05/2016	90
22/05/2016	91,2
23/05/2016	90
24/05/2016	90
25/05/2016	89
26/05/2016	89,2
27/05/2016	88,6
06/06/2016	90
07/06/2016	88,6
08/06/2016	89,4
09/06/2016	90,4
10/06/2016	89,2
11/06/2016	90,4
12/06/2016	90,8
13/06/2016	90,2
14/06/2016	89
15/06/2016	89,6
16/06/2016	89,4
22/06/2016	89,4
23/06/2016	87,4
24/06/2016	88,8
25/06/2016	90,8
29/06/2016	89,2
30/06/2016	88,6
01/07/2016	87,8
03/07/2016	92,2
04/07/2016	90,6
05/07/2016	90,6
06/07/2016	89,4
07/07/2016	89,6
08/07/2016	91,2
09/07/2016	90
10/07/2016	89,6
11/07/2016	90,2
12/07/2016	89,8
13/07/2016	89,4
14/07/2016	90,8
15/07/2016	91
16/07/2016	90,2
17/07/2016	89,4
18/07/2016	89,2
19/07/2016	88,6
26/07/2016	89,2
27/07/2016	88,4
28/07/2016	88,8
29/07/2016	88
01/08/2016	91
02/08/2016	90,4
08/08/2016	90,4
09/08/2016	91,4
10/08/2016	90,2
11/08/2016	90,2
12/08/2016	90
16/08/2016	89,2
17/08/2016	89
18/08/2016	89,6
19/08/2016	89,8
20/08/2016	
21/08/2016	90,2
22/08/2016	90,2
23/08/2016	90,2
24/08/2016	89,8
25/08/2016	89,6
26/08/2016	90,2
29/08/2016	89,6
30/08/2016	90,4
31/08/2016	90,4
01/09/2016	89
02/09/2016	89,6
05/09/2016	87,8
06/09/2016	90
07/09/2016	89,6
12/09/2016	90,8
13/09/2016	88,2
19/09/2016	89,6
20/09/2016	87,8
21/09/2016	88,6
22/09/2016	88,6
23/09/2016	88,8
25/09/2016	90,4
26/09/2016	89
27/09/2016	89,4
28/09/2016	89,2
